LineId,Content,EventId,EventTemplate
24,jk2_init() Found child 2335 in scoreboard slot 5,E15,jk2_init() Found child <*> in scoreboard slot <*>
25,jk2_init() Found child 2334 in scoreboard slot 4,E15,jk2_init() Found child <*> in scoreboard slot <*>
26,jk2_init() Found child 2336 in scoreboard slot 6,E15,jk2_init() Found child <*> in scoreboard slot <*>
27,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
28,mod_jk child init 1 0,E28,mod_jk child init <*>
29,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
30,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
31,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
32,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
33,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
34,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
35,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
36,[client 204.100.200.22] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
37,[client 207.203.80.15] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
38,[client 216.68.171.39] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
39,[client 24.158.204.7] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
40,[client 216.85.154.124] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
41,[client 219.136.165.149] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
42,[client 218.114.142.11] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
43,[client 211.74.182.199] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
44,[client 218.61.75.217] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
45,[client 12.32.56.253] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
46,[client 24.159.188.244] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
47,[client 222.76.16.61] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
48,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
49,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
50,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
51,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
52,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
53,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
54,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
55,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
56,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
57,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
58,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
59,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
60,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
61,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
62,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
63,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
64,jk2_init() Found child 4056 in scoreboard slot 8,E15,jk2_init() Found child <*> in scoreboard slot <*>
65,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
66,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
67,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
68,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
69,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
70,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
71,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
72,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
73,jk2_init() Can't find child 4057 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
74,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
75,mod_jk child init 1 -2,E28,mod_jk child init <*>
76,jk2_init() Can't find child 4058 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
77,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
78,mod_jk child init 1 -2,E28,mod_jk child init <*>
79,[client 219.150.171.68] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
80,[client 60.180.218.105] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
81,[client 12.223.73.171] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
82,[client 143.127.131.4] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
83,[client 65.106.172.142] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
84,[client 222.166.160.169] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
85,[client 221.211.123.40] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
86,[client 218.16.110.143] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
87,[client 61.187.179.247] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
88,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
89,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
90,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
91,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
92,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
93,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
94,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
95,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
96,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
97,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
98,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
99,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
100,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
101,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
102,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
103,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
104,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
105,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
106,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
107,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
108,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
109,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
110,[client 194.116.250.2] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>
111,[client 211.97.68.142] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
112,[client 61.4.64.180] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
113,[client 219.154.34.244] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
114,[client 66.201.171.199] File does not exist: /var/www/html/scripts/..%5c%5c..,E24,[client <*>] File does not exist: <*>
115,LDAP: Built with OpenLDAP LDAP SDK,E20,LDAP: Built with OpenLDAP LDAP SDK
116,LDAP: SSL support unavailable,E23,LDAP: SSL support unavailable
117,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),E18,suEXEC mechanism enabled (wrapper: <*>)
118,Digest: generating secret for digest authentication ...,E4,Digest: generating secret for digest authentication ...
119,Digest: done,E29,Digest: done
120,LDAP: Built with OpenLDAP LDAP SDK,E20,LDAP: Built with OpenLDAP LDAP SDK
121,LDAP: SSL support unavailable,E23,LDAP: SSL support unavailable
122,"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
123,config.update(): Can't create channel.jni:jni,E21,config.update(): Can't create <*>
124,"env.createBean2(): Factory error creating vm: ( vm, )",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
125,config.update(): Can't create vm:,E21,config.update(): Can't create <*>
126,"env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
127,config.update(): Can't create worker.jni:onStartup,E21,config.update(): Can't create <*>
128,"env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)"
129,config.update(): Can't create worker.jni:onShutdown,E21,config.update(): Can't create <*>
130,mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,E2,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.
131,mod_security/1.9dev2 configured,E25,mod_security/<*> configured
132,Apache/2.0.49 (Fedora) configured -- resuming normal operations,E8,Apache/<*> configured -- resuming normal operations
133,jk2_init() Found child 2337 in scoreboard slot 1,E15,jk2_init() Found child <*> in scoreboard slot <*>
134,jk2_init() Found child 2338 in scoreboard slot 2,E15,jk2_init() Found child <*> in scoreboard slot <*>
135,jk2_init() Found child 2339 in scoreboard slot 3,E15,jk2_init() Found child <*> in scoreboard slot <*>
136,jk2_init() Found child 2342 in scoreboard slot 6,E15,jk2_init() Found child <*> in scoreboard slot <*>
137,jk2_init() Found child 2343 in scoreboard slot 7,E15,jk2_init() Found child <*> in scoreboard slot <*>
138,jk2_init() Found child 2340 in scoreboard slot 4,E15,jk2_init() Found child <*> in scoreboard slot <*>
139,jk2_init() Found child 2341 in scoreboard slot 5,E15,jk2_init() Found child <*> in scoreboard slot <*>
140,jk2_init() Found child 2336 in scoreboard slot 0,E15,jk2_init() Found child <*> in scoreboard slot <*>
141,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
142,mod_jk child init 1 0,E28,mod_jk child init <*>
143,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
144,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
145,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
146,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
147,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
148,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
149,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
150,[client 61.4.64.179] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
151,[client 61.10.7.8] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
152,[client 24.2.25.240] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
153,[client 219.130.98.254] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
154,[client 210.22.201.118] File does not exist: /var/www/html/scripts/root.exe,E24,[client <*>] File does not exist: <*>
155,[client 210.22.201.119] File does not exist: /var/www/html/MSADC,E24,[client <*>] File does not exist: <*>
156,[client 210.22.201.120] File does not exist: /var/www/html/c,E24,[client <*>] File does not exist: <*>
157,[client 210.22.201.117] File does not exist: /var/www/html/d,E24,[client <*>] File does not exist: <*>
158,[client 210.22.201.124] File does not exist: /var/www/html/scripts/..%5c..,E24,[client <*>] File does not exist: <*>
159,[client 210.22.201.118] File does not exist: /var/www/html/_vti_bin,E24,[client <*>] File does not exist: <*>
160,[client 210.22.201.121] File does not exist: /var/www/html/_mem_bin,E24,[client <*>] File does not exist: <*>
161,[client 210.22.201.125] File does not exist: /var/www/html/msadc,E24,[client <*>] File does not exist: <*>
162,[client 210.22.201.120] File does not exist: /var/www/html/scripts/..\xc1\x1c..,E24,[client <*>] File does not exist: <*>
163,[client 210.22.201.122] File does not exist: /var/www/html/scripts/..\xc0\xaf..,E24,[client <*>] File does not exist: <*>
164,[client 210.22.201.117] File does not exist: /var/www/html/scripts/..\xc1\x9c..,E24,[client <*>] File does not exist: <*>
165,[client 210.22.201.121] File does not exist: /var/www/html/scripts/..%5c..,E24,[client <*>] File does not exist: <*>
166,[client 210.22.201.119] File does not exist: /var/www/html/scripts/..%2f..,E24,[client <*>] File does not exist: <*>
167,[client 61.142.136.20] File does not exist: /var/www/html/scripts/root.exe,E24,[client <*>] File does not exist: <*>
168,[client 61.142.136.20] File does not exist: /var/www/html/MSADC,E24,[client <*>] File does not exist: <*>
169,[client 61.142.136.20] File does not exist: /var/www/html/c,E24,[client <*>] File does not exist: <*>
170,[client 61.142.136.20] File does not exist: /var/www/html/d,E24,[client <*>] File does not exist: <*>
171,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,E24,[client <*>] File does not exist: <*>
172,[client 61.142.136.20] File does not exist: /var/www/html/_vti_bin,E24,[client <*>] File does not exist: <*>
173,[client 61.142.136.20] File does not exist: /var/www/html/_mem_bin,E24,[client <*>] File does not exist: <*>
174,[client 61.142.136.20] File does not exist: /var/www/html/msadc,E24,[client <*>] File does not exist: <*>
175,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x1c..,E24,[client <*>] File does not exist: <*>
176,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc0\xaf..,E24,[client <*>] File does not exist: <*>
177,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x9c..,E24,[client <*>] File does not exist: <*>
178,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,E24,[client <*>] File does not exist: <*>
179,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%2f..,E24,[client <*>] File does not exist: <*>
180,[client 61.154.135.10] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
181,[client 12.168.121.2] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
182,[client 219.127.107.18] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
183,[client 219.43.32.119] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
184,[client 222.166.160.83] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
185,[client 202.188.127.61] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
186,[client 58.83.8.110] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>
187,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
188,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
189,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
190,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
191,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
192,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
193,jk2_init() Can't find child 4210 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
194,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
195,mod_jk child init 1 -2,E28,mod_jk child init <*>
196,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
197,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
198,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
199,jk2_init() Can't find child 4211 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
200,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
201,mod_jk child init 1 -2,E28,mod_jk child init <*>
202,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
203,jk2_init() Can't find child 4212 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
204,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
205,mod_jk child init 1 -2,E28,mod_jk child init <*>
206,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
207,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
208,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E24,[client <*>] File does not exist: <*>
209,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
210,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
211,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
212,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
213,jk2_init() Can't find child 4213 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
214,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
215,mod_jk child init 1 -2,E28,mod_jk child init <*>
216,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
217,jk2_init() Found child 4214 in scoreboard slot 12,E15,jk2_init() Found child <*> in scoreboard slot <*>
218,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
219,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
220,jk2_init() Can't find child 4215 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
221,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
222,mod_jk child init 1 -2,E28,mod_jk child init <*>
223,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
224,jk2_init() Can't find child 4216 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
225,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
226,mod_jk child init 1 -2,E28,mod_jk child init <*>
227,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E24,[client <*>] File does not exist: <*>
228,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E24,[client <*>] File does not exist: <*>
229,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
230,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E24,[client <*>] File does not exist: <*>
231,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
232,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
233,jk2_init() Can't find child 4217 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
234,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
235,mod_jk child init 1 -2,E28,mod_jk child init <*>
236,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
237,jk2_init() Can't find child 4218 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
238,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
239,mod_jk child init 1 -2,E28,mod_jk child init <*>
240,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
241,jk2_init() Found child 4219 in scoreboard slot 17,E15,jk2_init() Found child <*> in scoreboard slot <*>
242,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
243,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
244,jk2_init() Can't find child 4220 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
245,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
246,mod_jk child init 1 -2,E28,mod_jk child init <*>
247,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
248,jk2_init() Can't find child 4221 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
249,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
250,mod_jk child init 1 -2,E28,mod_jk child init <*>
251,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
252,jk2_init() Can't find child 4222 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
253,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
254,mod_jk child init 1 -2,E28,mod_jk child init <*>
255,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
256,jk2_init() Can't find child 4223 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard
257,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
258,mod_jk child init 1 -2,E28,mod_jk child init <*>
259,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
260,jk2_init() Found child 4224 in scoreboard slot 22,E15,jk2_init() Found child <*> in scoreboard slot <*>
261,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>
262,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats,E13,[client <*>] script not found or unable to stat: <*>
263,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
264,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E24,[client <*>] File does not exist: <*>
265,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E24,[client <*>] File does not exist: <*>
266,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
267,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
268,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
269,[client 202.133.98.6] File does not exist: /var/www/html/cgi,E24,[client <*>] File does not exist: <*>
270,[client 202.133.98.6] script not found or unable to stat: /var/www/cgi-bin/awstats.pl,E13,[client <*>] script not found or unable to stat: <*>
271,[client 202.133.98.6] File does not exist: /var/www/html/awstats/awstats.pl,E24,[client <*>] File does not exist: <*>
